stt,buying,maint,doors,persons,lug_boot,safety,acceptability
178,vhigh,high,4,4,big,low,unacc
179,vhigh,high,4,4,big,med,unacc
180,vhigh,high,4,4,big,high,unacc
181,vhigh,high,4,more,small,low,unacc
182,vhigh,high,4,more,small,med,unacc
183,vhigh,high,4,more,small,high,unacc
184,vhigh,high,4,more,med,low,unacc
185,vhigh,high,4,more,med,med,unacc
186,vhigh,high,4,more,med,high,unacc
187,vhigh,high,4,more,big,low,unacc
188,vhigh,high,4,more,big,med,unacc
189,vhigh,high,4,more,big,high,unacc
190,vhigh,high,5more,2,small,low,unacc
191,vhigh,high,5more,2,small,med,unacc
192,vhigh,high,5more,2,small,high,unacc
193,vhigh,high,5more,2,med,low,unacc
194,vhigh,high,5more,2,med,med,unacc
195,vhigh,high,5more,2,med,high,unacc
196,vhigh,high,5more,2,big,low,unacc
197,vhigh,high,5more,2,big,med,unacc
198,vhigh,high,5more,2,big,high,unacc
199,vhigh,high,5more,4,small,low,unacc
200,vhigh,high,5more,4,small,med,unacc
201,vhigh,high,5more,4,small,high,unacc
202,vhigh,high,5more,4,med,low,unacc
203,vhigh,high,5more,4,med,med,unacc
204,vhigh,high,5more,4,med,high,unacc
205,vhigh,high,5more,4,big,low,unacc
206,vhigh,high,5more,4,big,med,unacc
207,vhigh,high,5more,4,big,high,unacc
208,vhigh,high,5more,more,small,low,unacc
209,vhigh,high,5more,more,small,med,unacc
210,vhigh,high,5more,more,small,high,unacc
211,vhigh,high,5more,more,med,low,unacc
212,vhigh,high,5more,more,med,med,unacc
213,vhigh,high,5more,more,med,high,unacc
214,vhigh,high,5more,more,big,low,unacc
215,vhigh,high,5more,more,big,med,unacc
216,vhigh,high,5more,more,big,high,unacc
217,vhigh,med,2,2,small,low,unacc
218,vhigh,med,2,2,small,med,unacc
219,vhigh,med,2,2,small,high,unacc
220,vhigh,med,2,2,med,low,unacc
221,vhigh,med,2,2,med,med,unacc
222,vhigh,med,2,2,med,high,unacc
223,vhigh,med,2,2,big,low,unacc
224,vhigh,med,2,2,big,med,unacc
225,vhigh,med,2,2,big,high,unacc
